epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1413,1.583,2.66,1.46782,0.14472,0.22889,0.10918,0.05532,1.61588,8.62263,1.67597,0.000647619,0.000647619,0.000647619
2,38.4258,1.62508,1.98532,1.4825,0.27217,0.32667,0.21822,0.09953,2.00135,8.1706,2.12212,0.00128826,0.00128826,0.00128826
3,57.5671,1.73079,1.95167,1.51809,0.34052,0.17556,0.14832,0.06081,1.85905,22.2401,1.83879,0.00190251,0.00190251,0.00190251
4,70.7749,1.75873,1.91123,1.55817,0.33766,0.17333,0.15173,0.06715,1.84448,16.2252,2.1197,0.0018812,0.0018812,0.0018812
5,92.4885,1.71953,1.84691,1.54037,0.3419,0.33778,0.23769,0.10417,1.84571,3.95679,1.85422,0.0018416,0.0018416,0.0018416
6,105.719,1.67777,1.80574,1.50341,0.43836,0.35778,0.33972,0.17076,1.75724,4.40337,1.7045,0.001802,0.001802,0.001802
7,118.849,1.65217,1.74062,1.4699,0.45289,0.3,0.2763,0.14849,1.73421,2.27488,1.65588,0.0017624,0.0017624,0.0017624
8,132.957,1.57695,1.63321,1.43049,0.44126,0.40222,0.37944,0.21597,1.56729,2.54361,1.47614,0.0017228,0.0017228,0.0017228
9,149.774,1.61708,1.65906,1.46136,0.46398,0.34,0.33618,0.16589,1.76218,3.28134,1.69275,0.0016832,0.0016832,0.0016832
10,162.874,1.55829,1.65153,1.45156,0.52714,0.45556,0.44519,0.25563,1.55041,1.82593,1.49183,0.0016436,0.0016436,0.0016436
11,176.191,1.51798,1.5025,1.40892,0.60961,0.42444,0.44985,0.25536,1.54337,1.82633,1.493,0.001604,0.001604,0.001604
12,189.351,1.50039,1.49034,1.39344,0.5967,0.48,0.51074,0.3039,1.45342,1.66862,1.4008,0.0015644,0.0015644,0.0015644
13,207.912,1.45357,1.4301,1.32673,0.65756,0.45333,0.51667,0.30988,1.46038,1.66511,1.40445,0.0015248,0.0015248,0.0015248
14,221.141,1.41959,1.41837,1.3249,0.59381,0.43208,0.47545,0.28092,1.52229,1.67936,1.43692,0.0014852,0.0014852,0.0014852
15,234.352,1.38157,1.3614,1.31572,0.65061,0.51556,0.56375,0.34381,1.38657,1.46983,1.34739,0.0014456,0.0014456,0.0014456
16,247.519,1.3585,1.33959,1.30018,0.61721,0.47778,0.52376,0.31441,1.438,1.56171,1.36676,0.001406,0.001406,0.001406
17,263.824,1.39177,1.31674,1.31106,0.63191,0.49778,0.54889,0.34563,1.36651,1.43225,1.35373,0.0013664,0.0013664,0.0013664
18,276.972,1.36887,1.30092,1.3056,0.61872,0.55333,0.58041,0.36494,1.29824,1.4098,1.28639,0.0013268,0.0013268,0.0013268
19,290.21,1.31494,1.25269,1.27474,0.60669,0.52667,0.5456,0.33269,1.34651,1.58807,1.35034,0.0012872,0.0012872,0.0012872
20,303.392,1.3356,1.26195,1.29024,0.59736,0.49333,0.53063,0.32866,1.3864,1.50833,1.34045,0.0012476,0.0012476,0.0012476
21,320.724,1.3103,1.21224,1.26107,0.6516,0.52889,0.56713,0.3546,1.25742,1.38301,1.24851,0.001208,0.001208,0.001208
22,333.801,1.26304,1.20808,1.24355,0.62875,0.57333,0.58947,0.3664,1.34307,1.39277,1.31331,0.0011684,0.0011684,0.0011684
23,347.08,1.30054,1.20207,1.25641,0.71092,0.54222,0.62286,0.39229,1.2887,1.30336,1.29053,0.0011288,0.0011288,0.0011288
24,360.321,1.2182,1.12118,1.20851,0.60921,0.56444,0.58076,0.37916,1.24022,1.37793,1.26786,0.0010892,0.0010892,0.0010892
25,387.096,1.20948,1.07987,1.20106,0.68844,0.53556,0.60436,0.39123,1.21378,1.27668,1.26351,0.0010496,0.0010496,0.0010496
26,400.367,1.23481,1.10671,1.21281,0.65484,0.60444,0.63152,0.40622,1.20578,1.24797,1.24383,0.00101,0.00101,0.00101
27,413.662,1.22849,1.11397,1.23302,0.6126,0.51333,0.51929,0.32368,1.34263,1.49659,1.33307,0.0009704,0.0009704,0.0009704
28,426.948,1.19453,1.08131,1.19575,0.66336,0.43778,0.48445,0.31172,1.44497,1.71678,1.42662,0.0009308,0.0009308,0.0009308
29,447.98,1.17037,1.06644,1.18759,0.68722,0.56222,0.61015,0.39785,1.25394,1.31536,1.28958,0.0008912,0.0008912,0.0008912
30,461.29,1.166,1.03587,1.18085,0.70024,0.53988,0.60556,0.38335,1.24942,1.3094,1.30159,0.0008516,0.0008516,0.0008516
31,474.511,1.12636,0.98691,1.16072,0.67205,0.57778,0.61328,0.41338,1.16482,1.25271,1.22183,0.000812,0.000812,0.000812
32,487.625,1.15011,1.02166,1.18252,0.74182,0.55111,0.62871,0.42809,1.18749,1.19692,1.23002,0.0007724,0.0007724,0.0007724
33,510.308,1.12565,0.97931,1.15758,0.72845,0.56667,0.6396,0.41747,1.19316,1.20585,1.22563,0.0007328,0.0007328,0.0007328
34,525.596,1.11803,0.93984,1.15268,0.67181,0.6,0.65124,0.42074,1.20036,1.12418,1.25702,0.0006932,0.0006932,0.0006932
