epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9072,1.03109,0.84208,1.11166,0.80963,0.54667,0.65119,0.42946,1.22611,1.15345,1.27765,0.00044,0.00044,0.00044
2,36.0535,1.05605,0.88719,1.12282,0.77721,0.50667,0.60957,0.38287,1.22746,1.32427,1.23492,0.00088218,0.00088218,0.00088218
3,45.4355,1.15363,1.0102,1.16675,0.64687,0.56889,0.59806,0.38349,1.28595,1.5718,1.30701,0.00130614,0.00130614,0.00130614
4,55.2043,1.18135,1.07113,1.1891,0.65414,0.47915,0.52307,0.31608,1.41441,1.66539,1.4099,0.00171189,0.00171189,0.00171189
5,64.3508,1.22426,1.11356,1.20323,0.68134,0.43778,0.50069,0.31525,1.48449,1.68915,1.44417,0.0018416,0.0018416,0.0018416
6,73.6042,1.23868,1.13864,1.2172,0.53553,0.49963,0.47979,0.27919,1.50816,1.68217,1.48025,0.001802,0.001802,0.001802
7,82.8475,1.24781,1.08986,1.20508,0.68343,0.50854,0.56578,0.34009,1.40549,1.59981,1.38467,0.0017624,0.0017624,0.0017624
8,92.1463,1.22904,1.0867,1.19095,0.66965,0.52704,0.56694,0.33916,1.32006,1.65313,1.36059,0.0017228,0.0017228,0.0017228
9,101.406,1.22523,1.12142,1.21586,0.69415,0.45897,0.50694,0.30028,1.47045,1.6057,1.41029,0.0016832,0.0016832,0.0016832
10,110.624,1.26305,1.10294,1.23442,0.53534,0.38403,0.36685,0.20686,1.75384,1.94147,1.66577,0.0016436,0.0016436,0.0016436
11,119.901,1.20819,1.07791,1.21055,0.67541,0.52889,0.56999,0.35462,1.41132,1.42055,1.43286,0.001604,0.001604,0.001604
12,129.139,1.20065,1.06489,1.17724,0.71199,0.54667,0.59849,0.37685,1.37468,1.34437,1.3468,0.0015644,0.0015644,0.0015644
13,139.469,1.10074,0.94957,1.13228,0.7789,0.51333,0.60289,0.38562,1.3015,1.44237,1.31503,0.0015248,0.0015248,0.0015248
14,148.959,1.16288,1.03006,1.17858,0.64045,0.49778,0.53057,0.33901,1.39529,1.73699,1.39557,0.0014852,0.0014852,0.0014852
15,158.269,1.14795,1.02219,1.1591,0.64902,0.48901,0.53619,0.32544,1.39868,1.70533,1.39326,0.0014456,0.0014456,0.0014456
16,167.626,1.19028,0.97071,1.17541,0.68313,0.53556,0.59498,0.37674,1.35013,1.31434,1.34139,0.001406,0.001406,0.001406
17,176.947,1.14517,0.96693,1.17296,0.7145,0.54503,0.59178,0.36577,1.30066,1.34791,1.30785,0.0013664,0.0013664,0.0013664
18,186.153,1.13984,0.98209,1.15852,0.79612,0.55556,0.65226,0.41608,1.27516,1.22382,1.28798,0.0013268,0.0013268,0.0013268
19,195.548,1.09625,0.89305,1.13191,0.69051,0.54444,0.60851,0.39029,1.25438,1.2709,1.27406,0.0012872,0.0012872,0.0012872
20,204.878,1.06958,0.94177,1.11426,0.71175,0.55421,0.61816,0.41032,1.21529,1.21046,1.24862,0.0012476,0.0012476,0.0012476
21,214.171,1.07995,0.89494,1.12311,0.63839,0.47111,0.51697,0.31888,1.42725,1.60137,1.41729,0.001208,0.001208,0.001208
22,223.592,1.04623,0.89842,1.11569,0.72651,0.56081,0.63017,0.41604,1.2373,1.21879,1.28528,0.0011684,0.0011684,0.0011684
23,232.967,1.08124,0.90091,1.12595,0.72346,0.60222,0.64476,0.41407,1.23425,1.23189,1.25584,0.0011288,0.0011288,0.0011288
24,242.282,1.07732,0.88906,1.1026,0.72726,0.57478,0.63482,0.39818,1.30431,1.28052,1.30115,0.0010892,0.0010892,0.0010892
25,254.658,1.03096,0.81976,1.10607,0.64069,0.58444,0.61183,0.40503,1.30049,1.26437,1.35519,0.0010496,0.0010496,0.0010496
26,263.919,1.07643,0.84416,1.12001,0.74282,0.55778,0.63898,0.4193,1.22557,1.20926,1.25456,0.00101,0.00101,0.00101
27,273.202,0.98932,0.8082,1.06994,0.76114,0.55111,0.61952,0.4155,1.22379,1.22969,1.28445,0.0009704,0.0009704,0.0009704
28,282.629,1.0095,0.80466,1.0663,0.73677,0.56601,0.63564,0.43218,1.17179,1.18254,1.25363,0.0009308,0.0009308,0.0009308
29,291.905,0.98901,0.75522,1.06943,0.77286,0.57465,0.64236,0.41666,1.25372,1.20796,1.30615,0.0008912,0.0008912,0.0008912
30,301.251,1.00851,0.77832,1.08657,0.71687,0.54222,0.58965,0.37477,1.23231,1.30646,1.28568,0.0008516,0.0008516,0.0008516
31,310.631,0.95041,0.75979,1.07739,0.78933,0.55786,0.65077,0.43209,1.222,1.20012,1.29911,0.000812,0.000812,0.000812
